id,date,title,category,assignee,status,due
"SD-031","2026-09-21T15:00","Диагностика оборудования · заявка 31","Ремонт","Менеджер А","Новая","2026-09-23T16:00"
"SD-032","2026-09-21T16:00","Уточнить срок ремонта · заявка 32","Консультация","Менеджер Б","В работе","2026-09-23T17:00"
"SD-033","2026-09-21T09:00","Замена комплектующих · заявка 33","Гарантия","Менеджер В","В работе","2026-09-23T10:00"
"SD-034","2026-09-21T10:00","Повторная настройка · заявка 34","Настройка","Менеджер А","Решена","2026-09-23T11:00"
"SD-035","2026-09-21T11:00","Вопрос по обслуживанию · заявка 35","Обслуживание","Менеджер Б","Новая","2026-09-23T12:00"
"SD-036","2026-09-22T12:00","Проверка подключения · заявка 36","Ремонт","Менеджер В","В работе","2026-09-24T13:00"
"SD-037","2026-09-22T13:00","Согласовать выезд мастера · заявка 37","Консультация","Менеджер А","Решена","2026-09-24T14:00"
"SD-038","2026-09-22T14:00","Обновление программного обеспечения · заявка 38","Гарантия","Менеджер Б","Отменена","2026-09-24T15:00"
"SD-039","2026-09-22T15:00","Проверить результат ремонта · заявка 39","Настройка","Менеджер В","В работе","2026-09-24T16:00"
"SD-040","2026-09-22T16:00","Настроить рабочее место · заявка 40","Обслуживание","Менеджер А","Новая","2026-09-24T17:00"
"SD-041","2026-09-23T09:00","Диагностика оборудования · заявка 41","Ремонт","Менеджер Б","Новая","2026-09-25T10:00"
"SD-042","2026-09-23T10:00","Уточнить срок ремонта · заявка 42","Консультация","Менеджер В","В работе","2026-09-25T11:00"
"SD-043","2026-09-23T11:00","Замена комплектующих · заявка 43","Гарантия","Менеджер А","В работе","2026-09-25T12:00"
"SD-044","2026-09-23T12:00","Повторная настройка · заявка 44","Настройка","Менеджер Б","Решена","2026-09-25T13:00"
"SD-045","2026-09-23T13:00","Вопрос по обслуживанию · заявка 45","Обслуживание","Менеджер В","Новая","2026-09-25T14:00"
"SD-046","2026-09-24T14:00","Проверка подключения · заявка 46","Ремонт","Менеджер А","В работе","2026-09-26T15:00"
"SD-047","2026-09-24T15:00","Согласовать выезд мастера · заявка 47","Консультация","Менеджер Б","Решена","2026-09-26T16:00"
"SD-048","2026-09-24T16:00","Обновление программного обеспечения · заявка 48","Гарантия","Менеджер В","Отменена","2026-09-26T17:00"
"SD-049","2026-09-24T09:00","Проверить результат ремонта · заявка 49","Настройка","Менеджер А","В работе","2026-09-26T10:00"
"SD-050","2026-09-24T10:00","Настроить рабочее место · заявка 50","Обслуживание","Менеджер Б","Новая","2026-09-26T11:00"
